metric,value
seed,123
sigma0.0_beta0.5.b,0.36982257499536597
sigma0.0_beta0.5.r_squared,0.7199126155585742
sigma0.0_beta1.0.b,0.36982257499536597
sigma0.0_beta1.0.r_squared,0.7199126155585742
sigma0.0_beta2.0.b,0.4130904498103608
sigma0.0_beta2.0.r_squared,0.7687926634839815
sigma0.0_beta5.0.b,0.4861959932460263
sigma0.0_beta5.0.r_squared,0.7234130172646556
sigma0.0_beta10.0.b,0.4861959932460263
sigma0.0_beta10.0.r_squared,0.7234130172646556
sigma0.0_beta20.0.b,0.4861959932460263
sigma0.0_beta20.0.r_squared,0.7234130172646556
sigma0.1_beta0.5.b,0.36982257499536597
sigma0.1_beta0.5.r_squared,0.7199126155585742
sigma0.1_beta1.0.b,0.36982257499536597
sigma0.1_beta1.0.r_squared,0.7199126155585742
sigma0.1_beta2.0.b,0.4130904498103608
sigma0.1_beta2.0.r_squared,0.7687926634839815
sigma0.1_beta5.0.b,0.4861959932460263
sigma0.1_beta5.0.r_squared,0.7234130172646556
sigma0.1_beta10.0.b,0.4861959932460263
sigma0.1_beta10.0.r_squared,0.7234130172646556
sigma0.1_beta20.0.b,0.4861959932460263
sigma0.1_beta20.0.r_squared,0.7234130172646556
sigma0.3_beta0.5.b,0.36982257499536597
sigma0.3_beta0.5.r_squared,0.7199126155585742
sigma0.3_beta1.0.b,0.36982257499536597
sigma0.3_beta1.0.r_squared,0.7199126155585742
sigma0.3_beta2.0.b,0.4130904498103608
sigma0.3_beta2.0.r_squared,0.7687926634839815
sigma0.3_beta5.0.b,0.4861959932460263
sigma0.3_beta5.0.r_squared,0.7234130172646556
sigma0.3_beta10.0.b,0.4861959932460263
sigma0.3_beta10.0.r_squared,0.7234130172646556
sigma0.3_beta20.0.b,0.4861959932460263
sigma0.3_beta20.0.r_squared,0.7234130172646556
sigma0.5_beta0.5.b,0.36982257499536597
sigma0.5_beta0.5.r_squared,0.7199126155585742
sigma0.5_beta1.0.b,0.36982257499536597
sigma0.5_beta1.0.r_squared,0.7199126155585742
sigma0.5_beta2.0.b,0.4130904498103608
sigma0.5_beta2.0.r_squared,0.7687926634839815
sigma0.5_beta5.0.b,0.4861959932460263
sigma0.5_beta5.0.r_squared,0.7234130172646556
sigma0.5_beta10.0.b,0.4861959932460263
sigma0.5_beta10.0.r_squared,0.7234130172646556
sigma0.5_beta20.0.b,0.4861959932460263
sigma0.5_beta20.0.r_squared,0.7234130172646556
best_config,sigma0.0_beta5.0
