metric,value
seed,456
sigma0.0_beta0.5.b,0.34223357827413126
sigma0.0_beta0.5.r_squared,0.7080319570754301
sigma0.0_beta1.0.b,0.37257944657697806
sigma0.0_beta1.0.r_squared,0.7330237432975713
sigma0.0_beta2.0.b,0.4811041631183786
sigma0.0_beta2.0.r_squared,0.809536617653787
sigma0.0_beta5.0.b,0.4811041631183786
sigma0.0_beta5.0.r_squared,0.809536617653787
sigma0.0_beta10.0.b,0.4811041631183786
sigma0.0_beta10.0.r_squared,0.809536617653787
sigma0.0_beta20.0.b,0.4811041631183786
sigma0.0_beta20.0.r_squared,0.809536617653787
sigma0.1_beta0.5.b,0.34223357827413126
sigma0.1_beta0.5.r_squared,0.7080319570754301
sigma0.1_beta1.0.b,0.37257944657697806
sigma0.1_beta1.0.r_squared,0.7330237432975713
sigma0.1_beta2.0.b,0.4811041631183786
sigma0.1_beta2.0.r_squared,0.809536617653787
sigma0.1_beta5.0.b,0.4811041631183786
sigma0.1_beta5.0.r_squared,0.809536617653787
sigma0.1_beta10.0.b,0.4811041631183786
sigma0.1_beta10.0.r_squared,0.809536617653787
sigma0.1_beta20.0.b,0.4811041631183786
sigma0.1_beta20.0.r_squared,0.809536617653787
sigma0.3_beta0.5.b,0.34223357827413126
sigma0.3_beta0.5.r_squared,0.7080319570754301
sigma0.3_beta1.0.b,0.37257944657697806
sigma0.3_beta1.0.r_squared,0.7330237432975713
sigma0.3_beta2.0.b,0.4811041631183786
sigma0.3_beta2.0.r_squared,0.809536617653787
sigma0.3_beta5.0.b,0.4811041631183786
sigma0.3_beta5.0.r_squared,0.809536617653787
sigma0.3_beta10.0.b,0.4811041631183786
sigma0.3_beta10.0.r_squared,0.809536617653787
sigma0.3_beta20.0.b,0.4811041631183786
sigma0.3_beta20.0.r_squared,0.809536617653787
sigma0.5_beta0.5.b,0.34223357827413126
sigma0.5_beta0.5.r_squared,0.7080319570754301
sigma0.5_beta1.0.b,0.37257944657697806
sigma0.5_beta1.0.r_squared,0.7330237432975713
sigma0.5_beta2.0.b,0.4811041631183786
sigma0.5_beta2.0.r_squared,0.809536617653787
sigma0.5_beta5.0.b,0.4811041631183786
sigma0.5_beta5.0.r_squared,0.809536617653787
sigma0.5_beta10.0.b,0.4811041631183786
sigma0.5_beta10.0.r_squared,0.809536617653787
sigma0.5_beta20.0.b,0.4811041631183786
sigma0.5_beta20.0.r_squared,0.809536617653787
best_config,sigma0.0_beta2.0
